"Date","Week","Shift","At-risk behavior","Employment","Job Function"
"23-Jul","Thursday","Night","Slips/trips/falls","Over","Freight Handler"
"23-Jul","Thursday","Night","Yard control","Over","Tug Driver"
"23-Jul","Thursday","Sunrise","Struck by/against","Over","Freight Handler"
"23-Jul","Thursday","Sunrise","Hand-to-surface","Over","Freight Handler"
"23-Jul","Thursday","Sunrise","Load stand","Over","Freight Handler"
"24-Jul","Friday","Sunrise","Struck by/against","Over","Tug Driver"
"24-Jul","Friday","Sunrise","Slips/trips/falls","Over","Tug Driver"
"24-Jul","Friday","Morning","Powerzone","Over","Mail Handler"
"24-Jul","Friday","Morning","Load stand","Over","Freight Handler"
"28-Jul","Tuesday","Day","Push/pull","Under","Mail Handler"
"28-Jul","Tuesday","Twilight","Hand-to-surface","Under","Mail Handler"
"28-Jul","Tuesday","Twilight","Yard control","Over","Forklift Operator"
"28-Jul","Tuesday","Twilight","Firm footing","Over","Mail Handler"
"28-Jul","Tuesday","Night","Yard control","Over","Forklift Operator"
"28-Jul","Tuesday","Twilight","Yard control","Over","Tug Driver"
"28-Jul","Tuesday","Night","Yard control","Over","Forklift Operator"
"28-Jul","Tuesday","Sunrise","Push/pull","Over","Freight Handler"
"28-Jul","Tuesday","Sunrise","Overreach","Over","Freight Handler"
"28-Jul","Tuesday","Sunrise","Push/pull","Over","Freight Handler"
"28-Jul","Tuesday","Day","Push/pull","Over","Freight Handler"
"29-Jul","Wednesday","Night","Yard control","Over","Tug Driver"
"29-Jul","Wednesday","Twilight","Powerzone","Over","Mail Handler"
"29-Jul","Wednesday","Twilight","Lifting/lowering","Over","Mail Handler"
"29-Jul","Wednesday","Twilight","3 p.o.c.","Over","Mail Handler"
"29-Jul","Wednesday","Twilight","Push/pull","Over","Mail Handler"
"29-Jul","Wednesday","Morning","Lifting/lowering","Over","Mail Handler"
"29-Jul","Wednesday","Morning","Load stand","Over","Mail Handler"
"29-Jul","Wednesday","Sunrise","Push/pull","Over","Tug Driver"
"29-Jul","Wednesday","Sunrise","Yard control","Over","Tug Driver"
"29-Jul","Wednesday","Day","Hand-to-surface","Over","Freight Handler"
"29-Jul","Wednesday","Day","Cornerstone","Over","Freight Handler"
"29-Jul","Wednesday","Day","Load stand","Over","Mail Handler"
"30-Jul","Thursday","Day","Push/pull","Over","Mail Handler"
"30-Jul","Thursday","Night","Overreach","Over","Freight Handler"
"30-Jul","Thursday","Night","Yard control","Over","Tug Driver"
"30-Jul","Thursday","Night","Struck by/against","Over","Mail Handler"
"30-Jul","Thursday","Morning","Struck by/against","Over","Mail Handler"
"30-Jul","Thursday","Morning","Lifting/lowering","Over","Mail Handler"
"30-Jul","Thursday","Sunrise","Overreach","Over","Freight Handler"
"30-Jul","Thursday","Day","Struck by/against","Over","Forklift Operator"
"30-Jul","Thursday","Day","Yard control","Over","Forklift Operator"
"31-Jul","Friday","Sunrise","Lifting/lowering","Under","Mail Handler"
"31-Jul","Friday","Morning","Push/pull","Over","Mail Handler"
"31-Jul","Friday","Morning","Firm footing","Over","Mail Handler"
"31-Jul","Friday","Sunrise","Struck by/against","Over","Mail Handler"
"31-Jul","Friday","Sunrise","Load stand","Over","Forklift Operator"
